NUM_CSE_DLY;COD_CSE_DLY;LIB_CSE_DLY_FRA;LIB_CSE_DLY_ANG;COD_CLA_DLY;DAT_DEB_VLD;DAT_FIN_VLD
21;CD;DOCUMENTATION;DOCUMENTATION;2;01/01/1990;31/12/9999
57;EF;FLIGHT PLANS;FLIGHT PLANS;5;01/01/1990;31/12/9999
73;WR;WEAT EN ROUTE OR ALTERNATE;WEAT EN ROUTE OR ALTERNATE;7;01/01/1990;31/12/9999
18;PB;BAGGAGE PROCESSING;BAGGAGE PROCESSING;1;01/01/1990;31/12/9999
48;TV;SCHEDULED CABIN CONFIGURATION;SCHEDULED CABIN CONFIGURATION;4;01/01/1990;31/12/9999
75;WI;DE ICING OF AIRCRAFT;DE ICING OF AIRCRAFT;7;01/01/1990;31/12/9999
69;FB;SECURITY CHECK ON CREW REQUEST;SECURITY CHECK ON CREW REQUEST;6;01/01/1990;31/12/9999
16;PS;COM PUB/PASSENGER CONVENIENCE;COM PUB/PASSENGER CONVENIENCE;1;01/01/1990;31/12/9999
97;MI;INDUSTRIAL ACTION WITHIN AF;INDUSTRIAL ACTION WITHIN AF;9;01/01/1990;31/12/9999
12;PL;CONGESTION IN CHECK IN AREA;CONGESTION IN CHECK IN AREA;1;01/01/1990;31/12/9999
35;GC;AIRCRAFT CLEANING;AIRCRAFT CLEANING;3;01/01/1990;31/12/9999
34;GS;SERVICING EQUIPEMENT;SERVICING EQUIPEMENT;3;01/01/1990;31/12/9999
84;AW;ATC WEAT AT DESTINATION;ATC WEAT AT DESTINATION;8;01/01/1990;31/12/9999
42;TM;SCHEDULED MAINTENANCE;SCHEDULED MAINTENANCE;4;01/01/1990;31/12/9999
98;MO;INDUSTRIEL ACTION HANDLING AGT;INDUSTRIEL ACTION HANDLING AGT;9;01/01/1990;31/12/9999
95;RC;CREW ROTATION;CREW ROTATION;9;01/01/1990;31/12/9999
41;TD;AIRCRAFT DEFECTS;AIRCRAFT DEFECTS;4;01/01/1990;31/12/9999
67;FC;CABIN CREW SHORTAGE;CABIN CREW SHORTAGE;6;01/01/1990;31/12/9999
32;GL;LOADING/UNLOADING;LOADING/UNLOADING;3;01/01/1990;31/12/9999
15;PH;BOARDING DISCREPANCIES PAGEING;BOARDING DISCREPANCIES PAGEING;1;01/01/1990;31/12/9999
25;CO;OVERSALE/BOOKING ERRORS;OVERSALE/BOOKING ERRORS;2;01/01/1990;31/12/9999
13;PE;CHECK IN ERROR PAX AND BAGS;CHECK IN ERROR PAX AND BAGS;1;01/01/1990;31/12/9999
##;?;UNKNOWN;UNKNOWN;##;01/01/1990;31/12/9999
43;TN;NON SCHEDULED MAINTENANCE;NON SCHEDULED MAINTENANCE;4;01/01/1990;31/12/9999
47;TL;STANDBY AIRCRAFT;STANDBY AIRCRAFT;4;01/01/1990;31/12/9999
31;GD;AIRCRAFT DOCUMENTATION;AIRCRAFT DOCUMENTATION;3;01/01/1990;31/12/9999
58;EO;AUTRE INFORMATIQUE;AUTRE INFORMATIQUE;5;25/11/1999;31/12/9999
1;SH;SYNDROME HURRY-UP;SYNDROME HURRY-UP;6;01/06/2010;31/12/9999
36;GF;FUELLING/DEFUELLING;FUELLING/DEFUELLING;3;01/01/1990;31/12/9999
61;FP;FLIGHT PLAN FLIGHT DOCUMENT;FLIGHT PLAN FLIGHT DOCUMENT;6;01/01/1990;31/12/9999
33;GE;LOADING EQUIPEMENT;LOADING EQUIPEMENT;3;01/01/1990;31/12/9999
77;WG;GROUND HANDLING IMPAIRED/WEAT;GROUND HANDLING IMPAIRED/WEAT;7;01/01/1990;31/12/9999
66;FL;LATE CABIN CREW BOARDING;LATE CABIN CREW BOARDING;6;01/01/1990;31/12/9999
55;ED;DEPARTURE CONTROL;DEPARTURE CONTROL;5;01/01/1990;31/12/9999
22;CP;LATE POSITIONNING;LATE POSITIONNING;2;01/01/1990;31/12/9999
27;CE;DOCUMENTATION/PACKING;DOCUMENTATION/PACKING;2;01/01/1990;31/12/9999
11;PD;ACCEPT APRES HLE;ACCEPT APRES HLE;1;01/01/1990;31/12/9999
23;CC;LATE ACCEPTANCE;LATE ACCEPTANCE;2;01/01/1990;31/12/9999
63;FT;LATE CREW BOARDING;LATE CREW BOARDING;6;01/01/1990;31/12/9999
5;XX;CODE DL EN ATTENTE;CODE DL EN ATTENTE;0;11/07/2003;31/12/9999
6;OA;ABS PT PKG CAUSE CIE;ABS PT PKG CAUSE CIE;0;25/11/1999;31/12/9999
56;EC;CARGO PREPARATION/DOCUMENT;CARGO PREPARATION/DOCUMENT;5;01/01/1990;31/12/9999
91;RL;LOAD CONNECTION;LOAD CONNECTION;9;01/01/1990;31/12/9999
76;WS;REMOVAL OF SNOW ICE WATER SAND;REMOVAL OF SNOW ICE WATER SAND;7;01/01/1990;31/12/9999
94;RS;CABIN CREW ROTATION;CABIN CREW ROTATION;9;01/01/1990;31/12/9999
14;PO;OVERSALES/BOOKING ERRORS;OVERSALES/BOOKING ERRORS;1;01/01/1990;31/12/9999
38;GU;CONTAINERS IN BAD CONDITION;CONTAINERS IN BAD CONDITION;3;01/01/1990;31/12/9999
52;DG;DAMAGE DURING GROUND OPERATION;DAMAGE DURING GROUND OPERATION;5;01/01/1990;31/12/9999
82;AX;ATC STAFF/EQUIPMENT EN-ROUTE;ATC STAFF/EQUIPMENT EN-ROUTE;8;01/01/1990;31/12/9999
68;FA;CABIN CREW SPECIAL REQUEST;CABIN CREW SPECIAL REQUEST;6;01/01/1990;31/12/9999
51;DF;DAMAGE DURING FLIGHT OPERATION;DAMAGE DURING FLIGHT OPERATION;5;01/01/1990;31/12/9999
65;FR;FLIGHT DECK CREW SPECIAL REQUE;FLIGHT DECK CREW SPECIAL REQUE;6;01/01/1990;31/12/9999
62;FF;OPERATIONNAL REQUIREMENT;OPERATIONNAL REQUIREMENT;6;01/01/1990;31/12/9999
39;GT;TECHNICAL EQUIPEMENT;TECHNICAL EQUIPEMENT;3;01/01/1990;31/12/9999
9;SG;TEMPS ESC PRGM INF TTM;TEMPS ESC PRGM INF TTM;0;01/01/1990;31/12/9999
44;TS;SPARES AND MAINTENANCE EQPT;SPARES AND MAINTENANCE EQPT;4;01/01/1990;31/12/9999
28;CL;LATE POSITIONING;LATE POSITIONING;2;01/01/1990;31/12/9999
89;AM;ATC/GROUND MOVEMENT CONTROL;ATC/GROUND MOVEMENT CONTROL;8;01/01/1990;31/12/9999
92;RT;TROUGH CHECK IN ERRORS;TROUGH CHECK IN ERRORS;9;01/01/1990;31/12/9999
3;SG;EMB DIFF SLOT SUP 2H ACK;EMB DIFF SLOT SUP 2H ACK;0;01/01/1990;31/12/9999
26;CU;LATE PREPARATION IN WAREHOUSE;LATE PREPARATION IN WAREHOUSE;2;01/01/1990;31/12/9999
99;MX;RAISONS EXCEPTIONNELLES DIVERS;RAISONS EXCEPTIONNELLES DIVERS;9;01/01/1990;31/12/9999
64;FS;FLIGHT DECK CREW SHORTAGE;FLIGHT DECK CREW SHORTAGE;6;01/01/1990;31/12/9999
4;XX;PROV ACARS OU REJ 93;PROV ACARS OU REJ 93;0;01/01/1990;31/12/9999
96;RO;OPERATIONS CONTROL;OPERATIONS CONTROL;9;01/01/1990;31/12/9999
81;AT;ATC EN-ROUTE DEMAND/CAPACITY;ATC EN-ROUTE DEMAND/CAPACITY;8;01/01/1990;31/12/9999
83;AE;ATC RESTRICTION AT DESTINATION;ATC RESTRICTION AT DESTINATION;8;01/01/1990;31/12/9999
71;WO;WEAT DEPARTURE STATION;WEAT DEPARTURE STATION;7;01/01/1990;31/12/9999
85;AS;MANDATORY SECURITY;MANDATORY SECURITY;8;01/01/1990;31/12/9999
46;TC;AIRCRAFT CHANGE;AIRCRAFT CHANGE;4;01/01/1990;31/12/9999
45;TA;AOG SPARES;AOG SPARES;4;01/01/1990;31/12/9999
29;CA;LATE ACCEPTANCE;LATE ACCEPTANCE;2;01/01/1990;31/12/9999
24;CI;INADEQUATE PACKING;INADEQUATE PACKING;2;01/01/1990;31/12/9999
87;AF;AIRPORT FACILITIES;AIRPORT FACILITIES;8;01/01/1990;31/12/9999
72;WT;WEAT DESTINATION STATION;WEAT DESTINATION STATION;7;01/01/1990;31/12/9999
88;AD;OPS LIMITATIONS AT DESTINATION;OPS LIMITATIONS AT DESTINATION;8;01/01/1990;31/12/9999
17;PC;CATERING ORDER ERROR;CATERING ORDER ERROR;1;01/01/1990;31/12/9999
93;RA;AIRCRAFT ROTATION;AIRCRAFT ROTATION;9;01/01/1990;31/12/9999
86;AG;IMMIGRATION/CUSTOMS/HEALTH;IMMIGRATION/CUSTOMS/HEALTH;8;10/02/2000;31/12/9999
37;GB;CATERING LATE DELIVERY OR LOAD;CATERING LATE DELIVERY OR LOAD;3;01/01/1990;31/12/9999
